language,id,translation_tag,spoken_tag
Marathi,324,mr,
Sena,325,,
Afrikaans,326,af,
Bura,327,,
Marshallese,328,mh,
Brahui,329,,
Uighur,330,,
Bulgariana,331,,
Serer,332,,
Kotokoli,333,,
Albaniana,334,,
Sara,335,,
Ronga,336,,
Ha,338,,
Kpelle,339,,
Hindi,340,hi,
Zenaga,341,,
Sumo,342,,
Mortlock,343,,
Monegasque,344,,
Greenlandic,345,,
Bassa,346,,
Garifuna,347,,
Wallis,348,,
Lao,349,lo,
Kuy,350,,
Ganda,351,lg,
Nepali,352,ne,
Tho,353,,
Luo,354,,
Tamil,355,ta,
Creole French,356,,
Niue,357,,
Yi,358,,
Meru,359,,
Fries,361,,
Uzbek,362,uz,
Carolinian,364,,
Portuguese,337,pt,pt-PT
Slovak,360,sk,sk-SK
Turkish,190,tr,tr-TR
Ukrainian,254,uk,uk-UA
Quichï¿½,366,,
Gbaya,367,,
Beja,368,,
Zhuang,369,,
Dhivehi,370,,
Swazi,371,,
Soninke,372,,
Sindhi,374,sd,
Sranantonga,375,,
Kirgiz,376,,
Palau,377,,
Faroese,378,fo,
Naudemba,379,,
Sunda,380,,
Punu,381,,
Romansh,382,rm,
Burmese,383,my,
Eskimo Languages,384,,
Azerbaijani,385,az,
Tahitian,386,ty,
Kongo,387,kg,
Fijian,389,fj,
Kekchï¿½,390,,
Asami,391,,
Gorane,392,,
Mongolian,393,mn,
Chaga and Pare,394,,
Chewa,395,,
Tamang,396,,
Serbo-Croatian,397,,
Maranao,398,,
Bakhtyari,399,,
Mordva,400,,
Edo,401,,
Embera,402,,
Kuranko,403,,
Masai,404,,
Bemba,405,,
Southsotho,406,,
Aizo,407,,
Puyi,408,,
Ijo,409,,
Rakhine,410,,
Nubian Languages,411,,
Mongo,412,,
Dusun,413,,
Swahili,414,sw,
Luxembourgish,415,,
Tandjile,416,,
Chichewa,417,,
Bashkir,418,ba,
Tigrinja,419,,
Bubi,420,,
Wolea,421,,
Papuan Languages,422,,
Paiwan,423,,
Bislama,424,bi,
Tujia,425,,
Sidamo,426,,
Sango,427,sg,
Dong,428,,
Lozi,429,,
Gujarati,430,gu,
Armenian,431,hy,
Friuli,432,,
Tsonga,433,ts,
Georgiana,434,,
Cuna,435,,
Mandyako,436,,
Basque,437,eu,
Mon,438,,
Gurage,439,,
Icelandic,440,is,
Caribbean,441,,
Punu-sira-nzebi,442,,
Yalunka,443,,
Minangkabau,444,,
Mpongwe,446,,
Tatar,447,tt,
Hausa,448,ha,
Cebuano,449,,
Kymri,450,,
Mano,451,,
Hadjarai,452,,
Gogo,453,,
Mayo-kebbi,454,,
Ga-adangme,455,,
Ouaddai,456,,
Luvale,457,,
Danish,180,da,da-DK
French,373,fr,fr-FR
German,102,de,de-DE
Italian,445,it,it-IT
Korean,260,ko,ko-KR
Polish,388,pl,pl-PL
Swedish,216,sv,sv-SE
Spanish,365,es,es-ES
Dutch,363,nl,nl-NL
